in ALNS func
ALNS kernel has been invoked 7 times
depot 107
request 3, x:-200.0000 y:200.0000
request 2, x:0.0000 y:200.0000
request 5, x:200.0000 y:200.0000
request 4, x:400.0000 y:200.0000
request 6, x:400.0000 y:700.0000
request 8, x:400.0000 y:900.0000
request 9, x:200.0000 y:900.0000
request 7, x:0.0000 y:750.0000
request 10, x:0.0000 y:950.0000
request 11, x:-200.0000 y:950.0000
request 12, x:0.0000 y:1500.0000
request 15, x:-200.0000 y:1700.0000
request 14, x:0.0000 y:1700.0000
request 17, x:200.0000 y:1700.0000
request 13, x:400.0000 y:1500.0000
request 16, x:400.0000 y:1700.0000
request 19, x:400.0000 y:2300.0000
request 22, x:400.0000 y:2500.0000
request 23, x:200.0000 y:2500.0000
request 20, x:0.0000 y:2500.0000
request 18, x:0.0000 y:2300.0000
request 21, x:-200.0000 y:2500.0000
request 24, x:0.0000 y:3100.0000
request 27, x:-200.0000 y:3300.0000
request 26, x:0.0000 y:3300.0000
request 29, x:200.0000 y:3300.0000
request 25, x:400.0000 y:3100.0000
request 28, x:400.0000 y:3300.0000
request 31, x:400.0000 y:4000.0000
request 34, x:400.0000 y:4200.0000
request 35, x:200.0000 y:4200.0000
request 32, x:0.0000 y:4200.0000
request 30, x:0.0000 y:4000.0000
request 33, x:-200.0000 y:4200.0000
request 36, x:0.0000 y:4900.0000
request 39, x:-200.0000 y:5100.0000
request 38, x:0.0000 y:5100.0000
request 41, x:200.0000 y:5100.0000
request 37, x:400.0000 y:4900.0000
request 40, x:400.0000 y:5100.0000
request 43, x:400.0000 y:5750.0000
request 46, x:400.0000 y:5950.0000
request 47, x:200.0000 y:5950.0000
request 42, x:0.0000 y:5800.0000
request 44, x:0.0000 y:6000.0000
request 45, x:-200.0000 y:6000.0000
request 48, x:0.0000 y:6600.0000
request 51, x:-200.0000 y:6800.0000
request 50, x:0.0000 y:6800.0000
request 53, x:200.0000 y:6800.0000
request 52, x:400.0000 y:6800.0000
request 49, x:400.0000 y:6600.0000
request 54, x:7450.0000 y:6800.0000
request 105, x:7650.0000 y:6800.0000
request 106, x:7850.0000 y:6800.0000
request 104, x:8050.0000 y:6600.0000
request 103, x:7650.0000 y:6600.0000
request 55, x:7450.0000 y:6000.0000
request 100, x:7650.0000 y:6000.0000
request 98, x:7650.0000 y:5800.0000
request 101, x:7850.0000 y:5950.0000
request 102, x:8050.0000 y:5950.0000
request 99, x:8050.0000 y:5750.0000
request 97, x:8050.0000 y:5100.0000
request 94, x:8050.0000 y:4900.0000
request 96, x:7850.0000 y:5100.0000
request 95, x:7650.0000 y:5100.0000
request 56, x:7450.0000 y:5100.0000
request 93, x:7650.0000 y:4900.0000
request 57, x:7450.0000 y:4200.0000
request 90, x:7650.0000 y:4200.0000
request 88, x:7650.0000 y:4000.0000
request 91, x:7850.0000 y:4200.0000
request 92, x:8050.0000 y:4200.0000
request 89, x:8050.0000 y:4000.0000
request 87, x:8050.0000 y:3300.0000
request 84, x:8050.0000 y:3100.0000
request 86, x:7850.0000 y:3300.0000
request 85, x:7650.0000 y:3300.0000
request 58, x:7450.0000 y:3300.0000
request 83, x:7650.0000 y:3100.0000
request 59, x:7450.0000 y:2500.0000
request 78, x:7650.0000 y:2300.0000
request 80, x:7650.0000 y:2500.0000
request 81, x:7850.0000 y:2500.0000
request 82, x:8050.0000 y:2500.0000
request 79, x:8050.0000 y:2300.0000
request 77, x:8050.0000 y:1700.0000
request 74, x:8050.0000 y:1500.0000
request 76, x:7850.0000 y:1700.0000
request 75, x:7650.0000 y:1700.0000
request 60, x:7450.0000 y:1700.0000
request 73, x:7650.0000 y:1500.0000
request 61, x:7450.0000 y:950.0000
request 72, x:7650.0000 y:950.0000
request 69, x:7650.0000 y:750.0000
request 70, x:7850.0000 y:900.0000
request 71, x:8050.0000 y:900.0000
request 68, x:8050.0000 y:700.0000
request 67, x:8050.0000 y:200.0000
request 64, x:8050.0000 y:0.0000
request 66, x:7850.0000 y:200.0000
request 65, x:7650.0000 y:200.0000
request 63, x:7650.0000 y:0.0000
request 62, x:7450.0000 y:200.0000
request 1, x:400.0000 y:0.0000
depot 0
total cost:44301.6837
